# Bo sig_Bo Bi sig_Bi shield sig_shield sf sig_sf time_dependent
0 0 3.52698 0 0 0 0 0 0
0.996222 0.114557 -0.0482001 0 0 0 0 0 0
2.00053 0.119439 -0.04 0 0 0 0 0 0
2.97677 0.100409 -0.04 0 0 0 0 0 0
4.93813 0.20744 -0.02 0 0 0 0 0 0
7.90687 0.313891 0 0 0 0 0 0 0
10.0136 0.211051 0.00820007 0 0 0 0 0 0
12.0496 0.22758 0.01 0 0 0 0 0 0
16.032 0.399487 0.0277197 0 0 0 0 0 0
20.0779 0.42708 0.07 0 0 0 0 0 0
24.7577 0.682815 0.14 0 0 0 0 0 0
29.7434 0.542182 0.23 0 0 0 0 0 0
34.693 0.659332 0.38 0 0 0 0 0 0
39.8695 0.643044 0.68 0 0 0 0 0 0
44.3557 0.743441 1.19227 0 0 0 0 0 0
47.3406 0.218134 1.8518 0 0 0 0 0 0
