t/F:I/F:x/F:y/F:z/F:B/F:B_I0_T0/F:B_I0
0.000 0 0 0 0 50.000		0.005	0.005
1.000 0 0 0 0 50.000		0.005	0.005
2.000 0 0 0 0 50.000		0.005	0.005
3.000 0 0 0 0 50.000		0.005	0.005
4.000 0 0 0 0 50.000		0.005	0.005
5.000 0 0 0 0 50.000		0.005	0.005
6.000 0 0 0 0 50.000		0.005	0.005
7.000 0 0 0 0 50.000		0.005	0.005
8.000 0 0 0 0 50.000		0.005	0.005
9.000 0 0 0 0 50.000		0.005	0.005
10.000 0 0 0 0 50.000		0.005	0.005
11.000 0 0 0 0 50.000		0.005	0.005
12.000 0 0 0 0 50.000		0.005	0.005
13.000 0 0 0 0 50.000		0.005	0.005
14.000 0 0 0 0 50.000		0.005	0.005
15.000 0 0 0 0 50.000		0.005	0.005
16.000 0 0 0 0 50.000		0.005	0.005
17.000 0 0 0 0 50.000		0.005	0.005
18.000 0 0 0 0 50.000		0.005	0.005
19.000 0 0 0 0 50.000		0.005	0.005
20.000 0 0 0 0 50.000		0.005	0.005
21.000 0 0 0 0 50.000		0.005	0.005
22.000 0 0 0 0 50.000		0.005	0.005
23.000 0 0 0 0 50.000		0.005	0.005
24.000 0 0 0 0 50.000		0.005	0.005
25.000 0 0 0 0 50.000		0.005	0.005
26.000 0 0 0 0 50.000		0.005	0.005
27.000 0 0 0 0 50.000		0.005	0.005
28.000 0 0 0 0 50.000		0.005	0.005
29.000 0 0 0 0 50.000		0.005	0.005
30.000 0 0 0 0 50.000		0.005	0.005
31.000 0 0 0 0 50.000		0.005	0.005
32.000 0 0 0 0 50.000		0.005	0.005
33.000 0 0 0 0 50.000		0.005	0.005
34.000 0 0 0 0 50.000		0.005	0.005
35.000 0 0 0 0 50.000		0.005	0.005
36.000 0 0 0 0 50.000		0.005	0.005
37.000 0 0 0 0 50.000		0.005	0.005
38.000 0 0 0 0 50.000		0.005	0.005
39.000 0 0 0 0 50.000		0.005	0.005
40.000 0 0 0 0 50.000		0.005	0.005
41.000 0 0 0 0 50.000		0.005	0.005
42.000 0 0 0 0 50.000		0.005	0.005
43.000 0 0 0 0 50.000		0.005	0.005
44.000 0 0 0 0 50.000		0.005	0.005
45.000 0 0 0 0 50.000		0.005	0.005
46.000 0 0 0 0 50.000		0.005	0.005
47.000 0 0 0 0 50.000		0.005	0.005
48.000 0 0 0 0 50.000		0.005	0.005
49.000 0 0 0 0 50.000		0.005	0.005
50.000 0 0 0 0 50.000		0.005	0.005
51.000 0 0 0 0 50.000		0.005	0.005
52.000 0 0 0 0 50.000		0.005	0.005
53.000 0 0 0 0 50.000		0.005	0.005
54.000 0 0 0 0 50.000		0.005	0.005
55.000 0 0 0 0 50.000		0.005	0.005
56.000 0 0 0 0 50.000		0.005	0.005
57.000 0 0 0 0 50.000		0.005	0.005
58.000 0 0 0 0 50.000		0.005	0.005
59.000 0 0 0 0 50.000		0.005	0.005
60.000 0 0 0 0 50.000		0.005	0.005
61.000 0 0 0 0 50.000		0.005	0.005
62.000 0 0 0 0 50.000		0.005	0.005
63.000 0 0 0 0 50.000		0.005	0.005
64.000 0 0 0 0 50.000		0.005	0.005
65.000 0 0 0 0 50.000		0.005	0.005
66.000 0 0 0 0 50.000		0.005	0.005
67.000 0 0 0 0 50.000		0.005	0.005
68.000 0 0 0 0 50.000		0.005	0.005
69.000 0 0 0 0 50.000		0.005	0.005
70.000 0 0 0 0 50.000		0.005	0.005
71.000 0 0 0 0 50.000		0.005	0.005
72.000 0 0 0 0 50.000		0.005	0.005
73.000 0 0 0 0 50.000		0.005	0.005
74.000 0 0 0 0 50.000		0.005	0.005
75.000 0 0 0 0 50.000		0.005	0.005
76.000 0 0 0 0 50.000		0.005	0.005
77.000 0 0 0 0 50.000		0.005	0.005
78.000 0 0 0 0 50.000		0.005	0.005
79.000 0 0 0 0 50.000		0.005	0.005
80.000 0 0 0 0 50.000		0.005	0.005
81.000 0 0 0 0 50.000		0.005	0.005
82.000 0 0 0 0 50.000		0.005	0.005
83.000 0 0 0 0 50.000		0.005	0.005
84.000 0 0 0 0 50.000		0.005	0.005
85.000 0 0 0 0 50.000		0.005	0.005
86.000 0 0 0 0 50.000		0.005	0.005
87.000 0 0 0 0 50.000		0.005	0.005
88.000 0 0 0 0 50.000		0.005	0.005
89.000 0 0 0 0 50.000		0.005	0.005
90.000 0 0 0 0 50.000		0.005	0.005
91.000 0 0 0 0 50.000		0.005	0.005
92.000 0 0 0 0 50.000		0.005	0.005
93.000 0 0 0 0 50.000		0.005	0.005
94.000 0 0 0 0 50.000		0.005	0.005
95.000 0 0 0 0 50.000		0.005	0.005
96.000 0 0 0 0 50.000		0.005	0.005
97.000 0 0 0 0 50.000		0.005	0.005
98.000 0 0 0 0 50.000		0.005	0.005
99.000 0 0 0 0 50.000		0.005	0.005
100.000 0 0 0 0 50.000		0.005	0.005
101.000 0 0 0 0 50.000		0.005	0.005
102.000 0 0 0 0 50.000		0.005	0.005
103.000 0 0 0 0 50.000		0.005	0.005
104.000 0 0 0 0 50.000		0.005	0.005
105.000 0 0 0 0 50.000		0.005	0.005
106.000 0 0 0 0 50.000		0.005	0.005
107.000 0 0 0 0 50.000		0.005	0.005
108.000 0 0 0 0 50.000		0.005	0.005
109.000 0 0 0 0 50.000		0.005	0.005
110.000 0 0 0 0 50.000		0.005	0.005
111.000 0 0 0 0 50.000		0.005	0.005
112.000 0 0 0 0 50.000		0.005	0.005
113.000 0 0 0 0 50.000		0.005	0.005
114.000 0 0 0 0 50.000		0.005	0.005
115.000 0 0 0 0 50.000		0.005	0.005
116.000 0 0 0 0 50.000		0.005	0.005
117.000 0 0 0 0 50.000		0.005	0.005
118.000 0 0 0 0 50.000		0.005	0.005
119.000 0 0 0 0 50.000		0.005	0.005
120.000 0 0 0 0 50.000		0.005	0.005
121.000 0 0 0 0 50.000		0.005	0.005
122.000 0 0 0 0 50.000		0.005	0.005
123.000 0 0 0 0 50.000		0.005	0.005
124.000 0 0 0 0 50.000		0.005	0.005
125.000 0 0 0 0 50.000		0.005	0.005
126.000 0 0 0 0 50.000		0.005	0.005
127.000 0 0 0 0 50.000		0.005	0.005
128.000 0 0 0 0 50.000		0.005	0.005
129.000 0 0 0 0 50.000		0.005	0.005
130.000 0 0 0 0 50.000		0.005	0.005
131.000 0 0 0 0 50.000		0.005	0.005
132.000 0 0 0 0 50.000		0.005	0.005
133.000 0 0 0 0 50.000		0.005	0.005
134.000 0 0 0 0 50.000		0.005	0.005
135.000 0 0 0 0 50.000		0.005	0.005
136.000 0 0 0 0 50.000		0.005	0.005
137.000 0 0 0 0 50.000		0.005	0.005
138.000 0 0 0 0 50.000		0.005	0.005
139.000 0 0 0 0 50.000		0.005	0.005
140.000 0 0 0 0 50.000		0.005	0.005
141.000 0 0 0 0 50.000		0.005	0.005
142.000 0 0 0 0 50.000		0.005	0.005
143.000 0 0 0 0 50.000		0.005	0.005
144.000 0 0 0 0 50.000		0.005	0.005
145.000 0 0 0 0 50.000		0.005	0.005
146.000 0 0 0 0 50.000		0.005	0.005
147.000 0 0 0 0 50.000		0.005	0.005
148.000 0 0 0 0 50.000		0.005	0.005
149.000 0 0 0 0 50.000		0.005	0.005
150.000 0 0 0 0 50.000		0.005	0.005
151.000 0 0 0 0 50.000		0.005	0.005
152.000 0 0 0 0 50.000		0.005	0.005
153.000 0 0 0 0 50.000		0.005	0.005
154.000 0 0 0 0 50.000		0.005	0.005
155.000 0 0 0 0 50.000		0.005	0.005
156.000 0 0 0 0 50.000		0.005	0.005
157.000 0 0 0 0 50.000		0.005	0.005
158.000 0 0 0 0 50.000		0.005	0.005
159.000 0 0 0 0 50.000		0.005	0.005
160.000 0 0 0 0 50.000		0.005	0.005
161.000 0 0 0 0 50.000		0.005	0.005
162.000 0 0 0 0 50.000		0.005	0.005
163.000 0 0 0 0 50.000		0.005	0.005
164.000 0 0 0 0 50.000		0.005	0.005
165.000 0 0 0 0 50.000		0.005	0.005
166.000 0 0 0 0 50.000		0.005	0.005
167.000 0 0 0 0 50.000		0.005	0.005
168.000 0 0 0 0 50.000		0.005	0.005
169.000 0 0 0 0 50.000		0.005	0.005
170.000 0 0 0 0 50.000		0.005	0.005
171.000 0 0 0 0 50.000		0.005	0.005
172.000 0 0 0 0 50.000		0.005	0.005
173.000 0 0 0 0 50.000		0.005	0.005
174.000 0 0 0 0 50.000		0.005	0.005
175.000 0 0 0 0 50.000		0.005	0.005
176.000 0 0 0 0 50.000		0.005	0.005
177.000 0 0 0 0 50.000		0.005	0.005
178.000 0 0 0 0 50.000		0.005	0.005
179.000 0 0 0 0 50.000		0.005	0.005
180.000 0 0 0 0 50.000		0.005	0.005
181.000 0 0 0 0 50.000		0.005	0.005
182.000 0 0 0 0 50.000		0.005	0.005
183.000 0 0 0 0 50.000		0.005	0.005
184.000 0 0 0 0 50.000		0.005	0.005
185.000 0 0 0 0 50.000		0.005	0.005
186.000 0 0 0 0 50.000		0.005	0.005
187.000 0 0 0 0 50.000		0.005	0.005
188.000 0 0 0 0 50.000		0.005	0.005
189.000 0 0 0 0 50.000		0.005	0.005
190.000 0 0 0 0 50.000		0.005	0.005
191.000 0 0 0 0 50.000		0.005	0.005
192.000 0 0 0 0 50.000		0.005	0.005
193.000 0 0 0 0 50.000		0.005	0.005
194.000 0 0 0 0 50.000		0.005	0.005
195.000 0 0 0 0 50.000		0.005	0.005
196.000 0 0 0 0 50.000		0.005	0.005
197.000 0 0 0 0 50.000		0.005	0.005
198.000 0 0 0 0 50.000		0.005	0.005
199.000 0 0 0 0 50.000		0.005	0.005
200.000 0 0 0 0 50.000		0.005	0.005
201.000 0 0 0 0 50.000		0.005	0.005
202.000 0 0 0 0 50.000		0.005	0.005
203.000 0 0 0 0 50.000		0.005	0.005
204.000 0 0 0 0 50.000		0.005	0.005
205.000 0 0 0 0 50.000		0.005	0.005
206.000 0 0 0 0 50.000		0.005	0.005
207.000 0 0 0 0 50.000		0.005	0.005
208.000 0 0 0 0 50.000		0.005	0.005
209.000 0 0 0 0 50.000		0.005	0.005
210.000 0 0 0 0 50.000		0.005	0.005
211.000 0 0 0 0 50.000		0.005	0.005
212.000 0 0 0 0 50.000		0.005	0.005
213.000 0 0 0 0 50.000		0.005	0.005
214.000 0 0 0 0 50.000		0.005	0.005
215.000 0 0 0 0 50.000		0.005	0.005
216.000 0 0 0 0 50.000		0.005	0.005
217.000 0 0 0 0 50.000		0.005	0.005
218.000 0 0 0 0 50.000		0.005	0.005
219.000 0 0 0 0 50.000		0.005	0.005
220.000 0 0 0 0 50.000		0.005	0.005
221.000 0 0 0 0 50.000		0.005	0.005
222.000 0 0 0 0 50.000		0.005	0.005
223.000 0 0 0 0 50.000		0.005	0.005
224.000 0 0 0 0 50.000		0.005	0.005
225.000 0 0 0 0 50.000		0.005	0.005
226.000 0 0 0 0 50.000		0.005	0.005
227.000 0 0 0 0 50.000		0.005	0.005
228.000 0 0 0 0 50.000		0.005	0.005
229.000 0 0 0 0 50.000		0.005	0.005
230.000 0 0 0 0 50.000		0.005	0.005
231.000 0 0 0 0 50.000		0.005	0.005
232.000 0 0 0 0 50.000		0.005	0.005
233.000 0 0 0 0 50.000		0.005	0.005
234.000 0 0 0 0 50.000		0.005	0.005
235.000 0 0 0 0 50.000		0.005	0.005
236.000 0 0 0 0 50.000		0.005	0.005
237.000 0 0 0 0 50.000		0.005	0.005
238.000 0 0 0 0 50.000		0.005	0.005
239.000 0 0 0 0 50.000		0.005	0.005
240.000 0 0 0 0 50.000		0.005	0.005
241.000 0 0 0 0 50.000		0.005	0.005
242.000 0 0 0 0 50.000		0.005	0.005
243.000 0 0 0 0 50.000		0.005	0.005
244.000 0 0 0 0 50.000		0.005	0.005
245.000 0 0 0 0 50.000		0.005	0.005
246.000 0 0 0 0 50.000		0.005	0.005
247.000 0 0 0 0 50.000		0.005	0.005
248.000 0 0 0 0 50.000		0.005	0.005
249.000 0 0 0 0 50.000		0.005	0.005
250.000 0 0 0 0 50.000		0.005	0.005
251.000 0 0 0 0 50.000		0.005	0.005
252.000 0 0 0 0 50.000		0.005	0.005
253.000 0 0 0 0 50.000		0.005	0.005
254.000 0 0 0 0 50.000		0.005	0.005
255.000 0 0 0 0 50.000		0.005	0.005
256.000 0 0 0 0 50.000		0.005	0.005
257.000 0 0 0 0 50.000		0.005	0.005
258.000 0 0 0 0 50.000		0.005	0.005
259.000 0 0 0 0 50.000		0.005	0.005
260.000 0 0 0 0 50.000		0.005	0.005
261.000 0 0 0 0 50.000		0.005	0.005
262.000 0 0 0 0 50.000		0.005	0.005
263.000 0 0 0 0 50.000		0.005	0.005
