t/F:I/F:x/F:y/F:z/F:B/F:B_I0_T0/F:B_I0
0.000 25.415 0 0 0 500.300	0.008	0.008
1.000 25.415 0 0 0 500.300	0.008	0.008
2.000 25.415 0 0 0 500.300	0.008	0.008
3.000 25.415 0 0 0 500.300	0.008	0.008
4.000 25.415 0 0 0 500.300	0.008	0.008
5.000 25.415 0 0 0 500.300	0.008	0.008
6.000 25.415 0 0 0 500.300	0.008	0.008
7.000 25.416 0 0 0 500.300	0.008	0.008
8.000 25.416 0 0 0 500.300	0.008	0.008
9.000 25.416 0 0 0 500.300	0.008	0.008
10.000 25.416 0 0 0 500.300	0.008	0.008
11.000 25.416 0 0 0 500.300	0.008	0.008
12.000 25.416 0 0 0 500.300	0.008	0.008
13.000 25.416 0 0 0 500.300	0.008	0.008
14.000 25.416 0 0 0 500.300	0.008	0.008
15.000 25.416 0 0 0 500.300	0.008	0.008
16.000 25.416 0 0 0 500.300	0.008	0.008
17.000 25.416 0 0 0 500.300	0.008	0.008
18.000 25.416 0 0 0 500.300	0.008	0.008
19.000 25.416 0 0 0 500.300	0.008	0.008
20.000 25.416 0 0 0 500.300	0.008	0.008
21.000 25.416 0 0 0 500.300	0.008	0.008
22.000 25.416 0 0 0 500.300	0.008	0.008
23.000 25.416 0 0 0 500.300	0.008	0.008
24.000 25.416 0 0 0 500.300	0.008	0.008
25.000 25.416 0 0 0 500.300	0.008	0.008
26.000 25.416 0 0 0 500.300	0.008	0.008
27.000 25.416 0 0 0 500.300	0.008	0.008
28.000 25.417 0 0 0 500.300	0.008	0.008
29.000 25.416 0 0 0 500.300	0.008	0.008
30.000 25.416 0 0 0 500.300	0.008	0.008
31.000 25.416 0 0 0 500.300	0.008	0.008
32.000 25.416 0 0 0 500.300	0.008	0.008
33.000 25.416 0 0 0 500.300	0.008	0.008
34.000 25.417 0 0 0 500.300	0.008	0.008
35.000 25.416 0 0 0 500.300	0.008	0.008
36.000 25.417 0 0 0 500.300	0.008	0.008
37.000 25.417 0 0 0 500.300	0.008	0.008
38.000 25.417 0 0 0 500.300	0.008	0.008
39.000 25.417 0 0 0 500.300	0.008	0.008
40.000 25.417 0 0 0 500.300	0.008	0.008
41.000 25.417 0 0 0 500.300	0.008	0.008
42.000 25.417 0 0 0 500.300	0.008	0.008
43.000 25.417 0 0 0 500.300	0.008	0.008
44.000 25.418 0 0 0 500.300	0.008	0.008
45.000 25.417 0 0 0 500.300	0.008	0.008
46.000 25.417 0 0 0 500.300	0.008	0.008
47.000 25.417 0 0 0 500.300	0.008	0.008
48.000 25.418 0 0 0 500.300	0.008	0.008
49.000 25.417 0 0 0 500.300	0.008	0.008
50.000 25.418 0 0 0 500.300	0.008	0.008
51.000 25.417 0 0 0 500.300	0.008	0.008
52.000 25.417 0 0 0 500.300	0.008	0.008
53.000 25.417 0 0 0 500.300	0.008	0.008
54.000 25.417 0 0 0 500.300	0.008	0.008
55.000 25.417 0 0 0 500.300	0.008	0.008
56.000 25.417 0 0 0 500.300	0.008	0.008
57.000 25.417 0 0 0 500.300	0.008	0.008
58.000 25.417 0 0 0 500.300	0.008	0.008
59.000 25.417 0 0 0 500.300	0.008	0.008
60.000 25.417 0 0 0 500.300	0.008	0.008
