t/F:I/F:x/F:y/F:z/F:B/F:B_I0_T0/F:B_I0
0.000 -876.730 0 0 0 10.000	0.002	0.002
1.000 -876.715 0 0 0 10.001	0.002	0.002
2.000 -876.706 0 0 0 10.000	0.002	0.002
3.000 -876.696 0 0 0 10.000	0.002	0.002
4.000 -876.681 0 0 0 10.002	0.002	0.002
5.000 -876.673 0 0 0 10.002	0.002	0.002
6.000 -876.660 0 0 0 10.001	0.002	0.002
7.000 -876.649 0 0 0 10.001	0.002	0.002
8.000 -876.637 0 0 0 10.001	0.002	0.002
9.000 -876.628 0 0 0 10.000	0.002	0.002
10.000 -876.618 0 0 0 10.001	0.002	0.002
11.000 -876.609 0 0 0 10.001	0.002	0.002
12.000 -876.599 0 0 0 10.002	0.002	0.002
13.000 -876.593 0 0 0 10.001	0.002	0.002
14.000 -876.580 0 0 0 10.001	0.002	0.002
15.000 -876.572 0 0 0 10.002	0.002	0.002
16.000 -876.563 0 0 0 10.002	0.002	0.002
17.000 -876.556 0 0 0 10.002	0.002	0.002
18.000 -876.549 0 0 0 10.001	0.002	0.002
19.000 -876.541 0 0 0 10.002	0.002	0.002
20.000 -876.530 0 0 0 10.001	0.002	0.002
21.000 -876.522 0 0 0 10.002	0.002	0.002
22.000 -876.511 0 0 0 10.002	0.002	0.002
23.000 -876.502 0 0 0 10.002	0.002	0.002
24.000 -876.495 0 0 0 10.002	0.002	0.002
25.000 -876.487 0 0 0 10.001	0.002	0.002
26.000 -876.479 0 0 0 10.001	0.002	0.002
27.000 -876.472 0 0 0 10.003	0.002	0.002
28.000 -876.463 0 0 0 10.003	0.002	0.002
29.000 -876.459 0 0 0 10.002	0.002	0.002
30.000 -876.451 0 0 0 10.002	0.002	0.002
31.000 -876.441 0 0 0 10.002	0.002	0.002
32.000 -876.431 0 0 0 10.003	0.002	0.002
33.000 -876.425 0 0 0 10.003	0.002	0.002
34.000 -876.419 0 0 0 10.002	0.002	0.002
35.000 -876.411 0 0 0 10.002	0.002	0.002
36.000 -876.407 0 0 0 10.003	0.002	0.002
37.000 -876.402 0 0 0 10.003	0.002	0.002
38.000 -876.396 0 0 0 10.001	0.002	0.002
39.000 -876.389 0 0 0 10.003	0.002	0.002
40.000 -876.381 0 0 0 10.002	0.002	0.002
41.000 -876.374 0 0 0 10.003	0.002	0.002
42.000 -876.368 0 0 0 10.003	0.002	0.002
43.000 -876.364 0 0 0 10.003	0.002	0.002
44.000 -876.359 0 0 0 10.003	0.002	0.002
45.000 -876.356 0 0 0 10.002	0.002	0.002
46.000 -876.354 0 0 0 10.002	0.002	0.002
47.000 -876.347 0 0 0 10.003	0.002	0.002
48.000 -876.339 0 0 0 10.003	0.002	0.002
49.000 -876.332 0 0 0 10.003	0.002	0.002
50.000 -876.326 0 0 0 10.002	0.002	0.002
51.000 -876.318 0 0 0 10.002	0.002	0.002
52.000 -876.314 0 0 0 10.003	0.002	0.002
53.000 -876.309 0 0 0 10.002	0.002	0.002
54.000 -876.306 0 0 0 10.004	0.002	0.002
55.000 -876.303 0 0 0 10.004	0.002	0.002
56.000 -876.298 0 0 0 10.002	0.002	0.002
57.000 -876.291 0 0 0 10.003	0.002	0.002
58.000 -876.286 0 0 0 10.003	0.002	0.002
59.000 -876.283 0 0 0 10.004	0.002	0.002
60.000 -876.278 0 0 0 10.003	0.002	0.002
61.000 -876.271 0 0 0 10.004	0.002	0.002
62.000 -876.267 0 0 0 10.003	0.002	0.002
63.000 -876.262 0 0 0 10.003	0.002	0.002
64.000 -876.257 0 0 0 10.003	0.002	0.002
65.000 -876.253 0 0 0 10.003	0.002	0.002
66.000 -876.247 0 0 0 10.005	0.002	0.002
67.000 -876.241 0 0 0 10.004	0.002	0.002
68.000 -876.234 0 0 0 10.003	0.002	0.002
69.000 -876.228 0 0 0 10.004	0.002	0.002
70.000 -876.222 0 0 0 10.003	0.002	0.002
71.000 -876.218 0 0 0 10.003	0.002	0.002
72.000 -876.213 0 0 0 10.005	0.002	0.002
