#run078_2layer_helix_adjacent
#b0	s_b0	bin(1/2year)	s_bin(1/2year)	shield	s_shield	sf	s_sf	t_dependent	overshoot
1.8699913735907645	0.0003582201408284247	0.10295611139903439	0.0011856125722327674	1.76703526219173	0.0012385470684360507	0.9449430019554915	0.000634108059843632	0	0
3.009563326719704	0.0002455748255658641	0.1668679250429612	0.0011606417594472128	2.842695401676743	0.0011863373418738983	0.9445541073811395	0.0003856777544424722	0	0
5.0335663838345575	0.0003973134418262525	0.28721401489321075	0.0014670767142549773	4.746352368941347	0.0015199250167574068	0.9429402548825805	0.0002914934969181001	0	0
7.523794638253818	0.0005604190144761212	2.4849584415960857	0.2493546610987858	5.038836196657733	0.24935529086258046	0.6697200600131193	0.03314214991046291	1	2
10.024819433750759	0.0005806127489806912	5.979229186288613	0.6884553456292473	4.045590247462146	0.6884555904607432	0.4035574180859335	0.06867509557416027	1	2
12.55323745830835	0.00030923455258591304	7.432975289646983	0.1967520295849523	5.120262168661368	0.19675227259629421	0.40788379775868305	0.015673416155681085	1	2
15.06616043693014	0.0004311559883651839	10.351416963881748	0.2652827427441	4.714743473048392	0.2652830931162381	0.3129359661862901	0.017607864276389388	1	2
17.73203873561726	0.0005698633794555263	12.38070789324453	0.19907266919907052	5.351330842372729	0.1990734848399299	0.3017888085042268	0.011226744413975238	1	2
19.724555825557026	0.00033676401497473307	14.82900438605434	0.09794868014025937	4.895551439502686	0.09794925906417375	0.248195776006248	0.004965840965965716	1	2
25.076128260212116	0.00036375349816353264	20.470156733371326	0.29171097561579273	4.60597152684079	0.2917112024097207	0.1836795329424523	0.011633021003860487	1	2
30.954469403163046	0.0007943981420712731	25.550498079712305	0.05313577512676204	5.40397132345074	0.05314171305791666	0.17457806344755314	0.0017167091493667482	1	2
35.3002111511539	0.0013048073470400823	30.816274634803655	0.12798754616376584	4.483936516350248	0.12799419711547466	0.12702293754420435	0.003625831422476566	1	2
40.248878872272655	0.0018974985774100617	36.75015688212626	0.7226937279747716	3.498721990146393	0.7226962189986359	0.08692719122063927	0.01795567541248195	1	2
46.013614215217316	0.00024823885218694386	41.643687893623614	0.14437064678205758	4.369926321593702	0.1443708601996863	0.09497029077425762	0.0031375675232263194	1	2
50.106404368156845	0.00020480159484037586	46.07032843708099	1.9504522959206554	4.036075931075857	1.9504523066729544	0.08055010096954444	0.03892620772944655	1	2
55.6494140625	0.0	51.463080903412354	0.010190203338236184	4.186333159087646	0.010190203338236184	0.07522690453462752	0.00018311429706683953	0	0
