#run027_1layer
#b0	s_b0	bin(1/2year)	s_bin(1/2year)	shield	s_shield	sf	s_sf	t_dependent	overshoot
1.7158178030537883	0.008557511079441027	0.010753377769771214	0.0007589580944981102	1.705064425284017	0.008591100817937136	0.9937327974155341	0.00044343325365025517	0	0
3.855984145829731	0.0047150933926563	0.023907223923617375	0.000770015298521093	3.8320769219061135	0.00477755473662287	0.9937999683039482	0.00019983744763082985	0	0
5.939064860196266	0.0019943064565235424	0.0377533777697712	0.000787383917260346	5.901311482426495	0.0021441155928941273	0.993643211741499	0.00013259426966570026	0	0
7.975276637399653	0.008853785505420042	0.053148982165375606	0.0008749902961492044	7.922127655234277	0.00889691664535199	0.9933357819945534	0.00010996200938461413	0	0
9.893018583831019	0.008072462317599616	0.06826986128625473	0.0007525667546489647	9.824748722544763	0.00810746597829856	0.993099188007406	7.627860884512016e-05	0	0
11.401557173381867	0.009733431975280205	0.08109403711043056	0.0008054277890904928	11.320463136271437	0.00976669913229881	0.9928874595042374	7.090238302411443e-05	0	0
14.093593018757586	0.00980486869643471	0.13232710101566447	0.012466226245914896	13.96126591774192	0.015860083447720656	0.9906108328203073	0.0008845555666003709	1	2
15.165225939165317	0.017891148608859986	0.14084279396282365	0.005990431157846865	15.024383145202494	0.018867391552655474	0.9907127797153957	0.00039516293060285336	1	2
17.44395916783769	0.009388034071035278	0.21792752135185348	0.018625884166900475	17.226031646485836	0.02085806186388642	0.9875069920047934	0.0010677767155718814	1	2
19.118054423001652	0.009910670699595059	0.28522285693586036	0.027070378121431482	18.832831566065792	0.028827534846966856	0.9850809684591808	0.001415979958860468	1	2
21.200598570021548	0.011748265746893694	0.4096926965801511	0.04862669023239907	20.790905873441396	0.05002576087394704	0.9806754184214651	0.0022936720420047765	1	2
23.26018871217312	0.010966196459488486	0.6274568954793008	0.10603145050037377	22.63273181669382	0.10659702603732109	0.9730244279939602	0.004558512592830378	1	2
25.51494487496969	0.008082073041109084	1.0267997679385732	0.2499658630316658	24.488145107031116	0.2500964865523051	0.9597569278330729	0.009796849487905176	1	2
27.938073703573124	0.0393857230427237	1.8695572598998156	0.6994840373760847	26.06851644367331	0.7005920023262797	0.9330820986537555	0.025037123539107406	1	2
29.486052137547475	0.010886617004993937	2.4741745855733033	0.9262168364856254	27.011877551974173	0.9262808141267167	0.9160900016715804	0.031412048063939504	1	2
#run027_1layer
#b0	s_b0	bin(1/2year)	s_bin(1/2year)	shield	s_shield	sf	s_sf	t_dependent	overshoot
25.78905905581029	0.008100704519623747	1.2471789525040227	0.3525674579631153	24.54188010330627	0.35266050789433073	0.9516392222839541	0.013671211301299401	1	2
29.462195239954195	0.007633316013603064	3.4963036470758	1.4149435282380254	25.965891592878393	1.4149641181372887	0.8813291535610217	0.048025743047282736	1	2
34.39626370463478	0.009399680451288361	7.6844129043875995	3.5026458085931607	26.711850800247177	3.5026584210350604	0.7765916388368614	0.10183217770904539	1	2
40.7609720866877	0.002068303180507769	17.9554230466587	7.762811085413684	22.805549040029	7.762811360950337	0.5594947292112584	0.19044715426243367	1	2
44.555338620767955	0.0	24.48594193380392	8.660732043882831	20.069396686964033	8.660732043882831	0.450437530231436	0.19438146610439913	1	2
47.74354749474931	0.009917984373704058	29.3814915049576	8.069597846411753	18.362055989791706	8.06960394128654	0.384597646243424	0.1690197016790822	1	2
52.565289476014996	0.002060906275890062	36.497461945325384	7.209859010939297	16.067827530689613	7.209859305489758	0.30567371911879604	0.1371600770167663	1	2
56.42053100107087	0.004512003019726762	41.205214848553375	5.857729761043174	15.215316152517495	5.857731498761459	0.2696769399818074	0.10382267915525181	1	2
59.576614544899044	0.00751403443672416	44.89301116781074	4.859962973851836	14.683603377088303	4.859968782608001	0.24646589084081338	0.08157506614413458	1	2
78.91068154861173	0.0041044506727772045	66.462255234095	2.3476666157324075	12.448426314516738	2.3476702036571875	0.1577533747043874	0.02975096799140652	1	2
100.41121844471236	0.008608372177555168	88.82524850493743	1.2514574854539546	11.585969939774927	1.2514870922108154	0.11538521411483821	0.012463554107476755	1	2
118.16520465834337	0.006610063726071758	107.22747625675316	0.8628465546465804	10.937728401590206	0.862871873343857	0.09256302168827936	0.007302212234734037	1	2
141.68601207398945	0.00611679664908138	133.22133974839454	0.7703879668288209	8.464672325594904	0.7704122497961016	0.059742469998905694	0.0054374417331612065	1	2
167.35465431282975	0.010395631553222984	158.57013945864753	0.47043321630988544	8.78451485418222	0.4705480636056787	0.052490412592658804	0.0028116118221654255	1	2
199.13520245715097	0.016796760943407207	190.82750331132962	0.33554346041992744	8.307699145821346	0.33596360667305825	0.04171888768691693	0.0016869408192060462	1	2
261.6794011678331	0.012668588118657453	254.46847992479337	0.24809896423963096	7.2109212430397065	0.24842219945427155	0.027556319721225762	0.0009492709027083014	1	2
318.03393267355233	0.015620674358785891	311.6217240386834	0.4317172268364402	6.412208634868932	0.43199973311886386	0.02016202667735703	0.0013583093353278625	1	2
354.6284720178865	0.02217296797809354	348.3108573432454	0.38926192577605434	6.317614674641106	0.3898929178221118	0.01781474183021171	0.0010993777553506632	1	2
402.4012167179519	0.011771036280492808	396.9276190290342	0.4554849700897421	5.473597688917721	0.45563704335004407	0.013602338813886427	0.0011322851823524882	1	2
494.3633848308854	0.020932798354976967	489.17044414632664	0.40297141077570586	5.192940684558778	0.40351473324964576	0.01050429874845041	0.0008162080741064624	1	2
