d/F:B_dx:B_dz:B_dy
-75		33.45						-1	-1
-70		37.54						-1	-1
-65		40.92						-1	-1
-60		45.41						-1	-1
-55		48.88						-1	-1
-50		53.92						52.63	-1
-45		59.20						57.57	-1
-40		64.37						63.33	-1
-35		69.17						69.29	-1
-30		75.30						74.24	-1
-28		77.39						77.38	-1
-26		80.83						80.13	-1
-24		83.26						81.88	-1
-22		84.83						83.97	-1
-20		86.90						86.71	-1
-18		89.32						88.22	124.85
-16		91.55						90.50	119.99
-14		93.51						92.48	114.86
-12		94.80						94.59	111.35
-10		96.63						96.40	107.79
-9		97.27						96.97	106.44
-8		97.48						97.24	105.19
-7		98.28						97.80	104.03
-6		98.66						98.11	103.21
-5		99.05						98.71	101.99
-4		99.49						99.12	101.48
-3		99.66						99.72	100.77
-2		99.86						99.86	100.37
-1		99.98						99.94	100.13
0		100.00						100.00	100.00
0		99.95						99.80	100.02
1		99.88						99.89	100.02
2		99.79						99.65	100.20
3		99.57						99.61	100.54
4		99.27						99.56	100.98
5		99.03						99.44	101.45
6		98.71						99.11	102.14
7		98.30						98.60	103.11
8		97.88						97.65	104.31
9		96.94						97.21	105.71
10		96.48						96.55	106.80
12		94.81						95.47	110.89
14		93.21						93.75	113.53
16		90.94						91.75	118.23
18		89.27						89.99	122.10
20		87.23						87.60	-1
22		84.68						85.10	-1
24		81.58						82.34	-1
26		79.02						79.74	-1
28		77.81						77.69	-1
30		74.33						75.58	-1
35		68.65						69.64	-1
40		63.64						63.83	-1
45		57.38						58.39	-1
50		53.55						53.71	-1
55		48.65						-1	-1
60		44.55						-1	-1	
65		40.92						-1	-1		
70		37.11						-1	-1			
75		33.84						-1	-1				
