cloak X-scan with fifteen layers,,,cooling,
Y=70,,,,
Z=158,,,,
step size =2,,,,
,,,,
Offset = -0.553,,,,
,,,,
,,,,
Current I =12.810 A,,,,
,,,,
X,M.T,,,
46,9.293,,,always outside
48,9.306,,,
50,9.297,,,
52,9.313,,,
54,9.3,,,
56,9.308,,,
58,9.31,,,
60,9.32,,,
62,9.318,,,
64,9.318,,,
66,9.319,,,
68,9.317,,,
70,9.316,,,
72,9.317,,,
74,9.318,,,
76,9.315,,,
78,9.317,,,
80,9.316,,,
82,9.315,,,
,,,,
126,8.807,,,
128,8.78,,,
130,8.775,,,
132,8.783,,,
134,8.826,,,
136,8.866,,,
138,8.919,,,
140,8.98,,,
142,9.02,,,
144,9.084,,,
146,9.133,,,
148,9.18,,,
150,9.2,,,
152,9.23,,,
154,9.243,,,
156,9.25,,,
158,9.26,,,
160,9.279,,,
162,9.28,,,
164,9.28,,,
166,9.277,,,
168,9.279,,,
170,9.277,,,
172,9.273,,,
174,9.269,,,
176,9.262,,,
178,9.252,,,
180,9.244,,,
182,9.23,,,
184,9.226,,,
