0.245	1.839	2.178
1.245	1.839	2.195
2.245	1.839	2.210
3.245	1.839	2.223
4.245	1.839	2.236
5.245	1.839	2.249
6.245	1.839	2.260
7.245	1.839	2.270
8.245	1.839	2.280
9.245	1.839	2.289
10.245	1.839	2.298
11.245	1.839	2.306
12.245	1.839	2.316
13.245	1.839	2.323
14.245	1.839	2.330
15.245	1.839	2.336
16.245	1.839	2.343
17.245	1.839	2.350
18.245	1.839	2.356
19.245	1.840	2.362
20.245	1.839	2.368
21.245	1.839	2.374
22.245	1.839	2.379
23.245	1.839	2.385
24.245	1.839	2.389
25.245	1.839	2.393
26.245	1.839	2.399
27.245	1.839	2.404
28.245	1.839	2.409
29.245	1.839	2.414
30.245	1.839	2.418
31.245	1.839	2.423
32.245	1.839	2.427
33.245	1.839	2.431
34.245	1.839	2.434
35.245	1.839	2.439
36.245	1.839	2.443
37.245	1.839	2.446
38.245	1.839	2.451
39.245	1.839	2.453
40.245	1.839	2.458
41.245	1.839	2.461
42.245	1.839	2.465
43.245	1.839	2.468
44.245	1.839	2.471
45.245	1.839	2.475
46.245	1.839	2.478
47.245	1.839	2.480
48.245	1.839	2.484
49.245	1.839	2.487
50.245	1.839	2.490
51.245	1.839	2.493
52.245	1.839	2.496
53.245	1.839	2.498
54.245	1.839	2.501
55.245	1.839	2.504
56.245	1.839	2.507
57.245	1.839	2.509
58.245	1.839	2.514
59.245	1.839	2.515
60.245	1.839	2.517
61.245	1.839	2.520
62.245	1.839	2.522
63.245	1.839	2.526
64.245	1.839	2.528
65.245	1.839	2.530
66.245	1.839	2.533
67.245	1.839	2.534
68.245	1.840	2.538
69.245	1.840	2.540
70.245	1.839	2.542
71.245	1.840	2.545
72.245	1.839	2.547
73.245	1.840	2.548
74.245	1.840	2.552
75.245	1.840	2.553
76.245	1.839	2.557
77.245	1.840	2.557
78.245	1.839	2.559
79.245	1.839	2.563
80.245	1.839	2.564
81.252	1.839	2.566
82.245	1.840	2.568
83.245	1.839	2.571
84.245	1.839	2.573
85.245	1.840	2.575
86.245	1.840	2.577
87.245	1.839	2.579
88.245	1.839	2.581
89.245	1.839	2.583
90.245	1.839	2.584
