Bout,Bout_sdev,File,ID,frac,mu,mu_err,mu_err_geom,mu_err_pp
0.213372677565,0.155043721199,DataFile_170224_134823.csv,fm104_cryo,0.104,1.22522008963,14.0139887981,0.00063537287249,14.0139887837
1.05966281891,0.155043974519,DataFile_170224_134823.csv,fm104_cryo,0.104,1.16042338569,3.64931483422,0.000441494893757,3.64931480751
1.93072974682,0.155044585466,DataFile_170224_134823.csv,fm104_cryo,0.104,1.13340325085,2.32446688893,0.000363126813576,2.32446686056
2.95123338699,0.155045717955,DataFile_170224_134823.csv,fm104_cryo,0.104,1.15204768758,1.36747735825,0.000417041035121,1.36747729466
4.05226230621,0.155047476292,DataFile_170224_134823.csv,fm104_cryo,0.104,1.14269889829,1.04821743757,0.000389916565971,1.04821736505
5.03095436096,0.15504950285,DataFile_170224_134823.csv,fm104_cryo,0.104,1.14792743251,0.820100702701,0.000405064286159,0.820100602666
6.07313776016,0.155052140355,DataFile_170224_134823.csv,fm104_cryo,0.104,1.13464105211,0.733426618745,0.000366683642181,0.733426527082
7.07892990112,0.15505515039,DataFile_170224_134823.csv,fm104_cryo,0.104,1.14368709383,0.596721964841,0.000392775140317,0.596721835575
8.04291057587,0.155058473349,DataFile_170224_134823.csv,fm104_cryo,0.104,1.14793699304,0.512987630408,0.000405092036108,0.512987470463
9.01463413239,0.155062243342,DataFile_170224_134823.csv,fm104_cryo,0.104,1.16984989208,0.410194111877,0.000469187170508,0.410193843545
10.0846910477,0.155066892505,DataFile_170224_134823.csv,fm104_cryo,0.104,1.14449496136,0.417001551268,0.000395113585436,0.41700136408
11.0579633713,0.155071571469,DataFile_170224_134823.csv,fm104_cryo,0.104,1.14326820775,0.382946850624,0.000391563171365,0.382946650437
12.0343332291,0.155076682568,DataFile_170224_134823.csv,fm104_cryo,0.104,1.12307836757,0.398754347673,0.000333584734872,0.39875420814
13.0176715851,0.155082285404,DataFile_170224_134823.csv,fm104_cryo,0.104,1.12606687549,0.361351938039,0.000342112274169,0.361351776091
13.9924926758,0.155088275671,DataFile_170224_134823.csv,fm104_cryo,0.104,1.17279299071,0.260797062552,0.000477869745923,0.260796624741
15.0246105194,0.155095070601,DataFile_170224_134823.csv,fm104_cryo,0.104,1.11885598334,0.328905210936,0.000321569021065,0.328905053737
16.042016983,0.15510225296,DataFile_170224_134823.csv,fm104_cryo,0.104,1.13469568303,0.277655768222,0.000366840698857,0.277655525886
16.9626369476,0.155109167099,DataFile_170224_134823.csv,fm104_cryo,0.104,1.12294849831,0.283209559755,0.000333214593318,0.28320936373
18.2100067139,0.155119135976,DataFile_170224_134823.csv,fm104_cryo,0.104,1.1308306728,0.250560429624,0.000355744848114,0.250560177081
19.1151409149,0.155126795173,DataFile_170224_134823.csv,fm104_cryo,0.104,1.15250503625,0.210731563247,0.000418372611461,0.210731147942
20.089963913,0.15513548255,DataFile_170224_134823.csv,fm104_cryo,0.104,1.13304014902,0.224023914423,0.00036208405174,0.22402362181
21.1127891541,0.155145049095,DataFile_170224_134823.csv,fm104_cryo,0.104,1.12504030454,0.224412878157,0.000339180860037,0.224412621835
22.0535411835,0.155154272914,DataFile_170224_134823.csv,fm104_cryo,0.104,1.13796341266,0.198110025722,0.000376246408699,0.198109668442
23.2482585907,0.155166566372,DataFile_170224_134823.csv,fm104_cryo,0.104,1.15150985201,0.174222977607,0.000415475670515,0.174222482207
24.0643520355,0.155175328255,DataFile_170224_134823.csv,fm104_cryo,0.104,1.14323488238,0.176121525963,0.000391466766294,0.176121090904
25.0624027252,0.155186459422,DataFile_170224_134823.csv,fm104_cryo,0.104,1.14460350586,0.16782203409,0.00039542788061,0.16782156823
26.2439537048,0.155200213194,DataFile_170224_134823.csv,fm104_cryo,0.104,1.14166345597,0.162973474574,0.000386923502569,0.162973015266
27.0879211426,0.155210420489,DataFile_170224_134823.csv,fm104_cryo,0.104,1.14131080431,0.158226488657,0.000385904633449,0.158226018058
