# Bo sig_Bo Bi sig_Bi shield sig_shield sf sig_sf time_dependent
1.31573 0.000495285 0.003 0 0 0 0 0 0
3.2675 0.000224494 0.004 0 0 0 0 0 0
5.30229 0.000301712 0.00430603 0 0 0 0 0 0
7.99816 0.000789889 0.00671503 0 0 0 0 0 0
10.476 0.000519463 0.00929602 0 0 0 0 0 0
12.83 0.000703056 0.010301 0 0 0 0 0 0
15.212 0.000408656 0.012703 0 0 0 0 0 0
17.7066 0.00041039 0.014 0 0 0 0 0 0
20.304 0.000485304 0.015714 0 0 0 0 0 0
25.2928 0.000153391 0.025 0 0 0 0 0 0
25.2939 0.000910437 0.024 0 0 0 0 0 0
30.8651 0.000538914 0.03254 0 0 0 0 0 0
35.5595 0.0007114 0.038323 0 0 0 0 0 0
40.3219 0.00200969 0.038 0 0 0 0 0 0
40.3438 0.00194929 0.046 0 0 0 0 0 0
45.3668 0.000366512 0.051 0 0 0 0 0 0
50.3251 0.000245028 0.049644 0 0 0 0 0 0
50.4548 0.000241078 0.023303 0 0 0 0 0 0
50.4548 0.000219479 0.0174399 0 0 0 0 0 0
56.1483 0.000720396 0.035536 0 0 0 0 0 0
56.2182 0.000271425 -0.009 0 0 0 0 0 0
